2 1:-0.6042732 2:-1.6914015
1 1:-1.3163215 2:0.1153228
2 1:-1.4554967 2:1.1388200
2 1:-1.7228083 2:0.1600877
0 1:1.5427795 2:0.3952962
2 1:-1.0356524 2:-0.9061013
1 1:-0.9720770 2:0.4752860
0 1:0.7169171 2:1.3849728
0 1:1.0762118 2:1.1838866
0 1:1.1944295 2:0.8613918
1 1:-0.7968823 2:1.4065419
1 1:1.2216246 2:1.7846404
0 1:0.7918347 2:1.2546806
2 1:-0.1884299 2:-1.4396356
2 1:-0.0167183 2:-1.3344555
0 1:1.3782405 2:0.7405838
1 1:-0.0757782 2:1.0098742
0 1:0.5792203 2:1.5468084
1 1:-0.7029459 2:0.6343768
1 1:0.0674799 2:0.9417363
1 1:-0.6672295 2:1.2658526
1 1:-2.3798444 2:-0.3976491
1 1:-2.1607597 2:-0.5530478
1 1:-1.4812658 2:0.4756657
0 1:0.7922008 2:1.6909741
1 1:-0.2339640 2:0.3117463
2 1:-1.7725416 2:-0.2332117
1 1:-2.5619664 2:1.3294971
0 1:0.8119515 2:1.3053382
2 1:-1.7266458 2:-0.1776980
0 1:1.6653916 2:0.5698262
1 1:0.0497354 2:0.4877944
2 1:-0.1951666 2:-1.0631119
2 1:-0.3647869 2:-1.9312131
0 1:0.6020216 2:1.3066497
1 1:-0.7773551 2:0.9048286
1 1:0.1439435 2:1.6903936
0 1:1.4405659 2:0.6572195
1 1:-1.7149118 2:-0.1886269
1 1:-0.4071422 2:1.6407028
0 1:0.3777456 2:1.6765770
0 1:0.6272031 2:1.4485523
2 1:-1.3939262 2:-0.3541972
1 1:-0.5024580 2:2.4015611
2 1:-0.1519725 2:-1.2122912
1 1:-0.6307081 2:1.9869591
0 1:0.3169076 2:1.0446347
2 1:-1.5736374 2:0.1263886
1 1:0.2709516 2:1.5183668
0 1:0.5345058 2:1.1591821
0 1:0.9464570 2:1.3299056
0 1:1.0166927 2:1.2437084
2 1:-1.0165159 2:-0.9206738
1 1:-1.2005643 2:1.3865968
0 1:0.9686703 2:0.7197376
2 1:-1.0976592 2:-2.2177302
2 1:-1.3111988 2:-0.3309189
1 1:-0.8066945 2:2.0083461
1 1:-1.7668733 2:0.3265132
2 1:-1.5311776 2:0.0390835
2 1:-0.8129344 2:-1.6108455
2 1:-0.7802531 2:-0.0459607
1 1:-0.3556010 2:1.3296863
0 1:1.4622459 2:0.4700979
0 1:1.7212210 2:0.6386122
0 1:0.5699541 2:1.0044344
0 1:0.5055870 2:1.4104955
1 1:-0.5522767 2:2.6371748
2 1:-0.7054072 2:-1.1077017
1 1:-0.8568975 2:1.6945114
1 1:-1.2005584 2:1.5873151
2 1:-0.7952211 2:-1.3339703
1 1:-2.1879369 2:-0.0343338
0 1:1.7719601 2:0.8920534
2 1:-0.3668990 2:-0.9077239
1 1:-0.2657644 2:1.8567204
1 1:-0.9853278 2:1.2648953
2 1:-1.8262973 2:1.5052807
0 1:1.1659302 2:0.0212199
