2 1:-2.0600939 2:177.9008818
0 1:-0.9745341 2:-1490.3331019
2 1:-1.3356645 2:441.6118229
1 1:0.7819624 2:-378.7807969
2 1:-2.1836576 2:417.3185060
2 1:-1.4743670 2:479.1173617
0 1:-1.1416320 2:-291.1847472
2 1:-1.2233913 2:606.7733471
2 1:-0.0849822 2:742.9596073
1 1:1.9305549 2:-1376.2197785
1 1:0.9629369 2:-437.0278883
2 1:-2.1973702 2:264.0897168
2 1:-2.3757359 2:70.1160699
2 1:-1.4069918 2:429.1051308
2 1:-2.1940966 2:227.4189976
1 1:1.4758356 2:-773.1979835
1 1:1.6892906 2:-893.1259145
2 1:-2.9145555 2:134.3209191
2 1:-1.1653658 2:554.4494916
2 1:-1.4341762 2:397.6894551
2 1:-1.0730108 2:456.0180694
2 1:-0.4873276 2:513.4775282
0 1:0.5287688 2:-1981.7595670
1 1:0.5916990 2:-55.0940889
0 1:-0.8127289 2:-309.6936366
1 1:1.0301507 2:-596.1803995
0 1:-1.2599056 2:69.8019211
1 1:0.6480431 2:-395.1638315
0 1:-1.2725038 2:-891.1864354
1 1:0.8879695 2:-282.2510768
2 1:-2.2844907 2:255.5054085
2 1:0.3663354 2:809.7762631
2 1:-0.2916575 2:729.2163937
2 1:-0.2125271 2:707.1131008
2 1:-1.9105697 2:403.7873500
2 1:0.6513379 2:878.7716376
2 1:-1.2136613 2:615.0471925
0 1:-1.1091338 2:-1560.7957819
1 1:1.5724769 2:-988.4951367
0 1:-1.2110477 2:-84.6401100
2 1:-2.2137683 2:287.9983227
2 1:-1.6571121 2:397.1358416
2 1:-1.3133916 2:515.1543807
2 1:-1.2046353 2:543.2268373
2 1:-1.5848391 2:315.5932285
1 1:1.6310022 2:-1025.0049261
2 1:-0.5783523 2:739.4283776
1 1:0.9158828 2:-489.0179673
2 1:-3.8886562 2:-160.0735493
2 1:-1.7588647 2:402.0411028
1 1:0.5479311 2:-41.8374483
2 1:-1.3787763 2:248.5787538
1 1:0.5588073 2:-127.2494435
2 1:-1.5843794 2:423.4981826
0 1:-1.4352149 2:-672.1557775
2 1:-0.2781652 2:686.3117172
1 1:0.5848103 2:-186.6310680
2 1:-4.3246334 2:-381.0281621
0 1:-0.6884292 2:-810.5181868
1 1:1.4524855 2:-900.8901717
2 1:-0.7281428 2:455.7128237
1 1:0.9566256 2:-648.7676186
2 1:-0.4007991 2:705.1969560
1 1:0.5725506 2:-161.2499278
0 1:-0.2553042 2:-1438.4792120
0 1:-0.6909075 2:-73.2840570
1 1:1.5544107 2:-1047.8065060
2 1:0.3580630 2:776.2916449
1 1:0.8442214 2:-359.5333954
2 1:0.1796866 2:1040.1002210
2 1:-2.4747569 2:78.5161762
2 1:-0.6957450 2:640.8134424
1 1:0.5829291 2:-128.6073910
0 1:-1.3282489 2:-302.0449800
1 1:1.8565758 2:-994.3524219
1 1:1.2698866 2:-728.6450263
2 1:-1.7186817 2:432.7837228
2 1:-0.7926101 2:596.4039729
0 1:-0.6269609 2:-1582.1992105
2 1:0.4647758 2:961.1264953
2 1:-0.5264318 2:696.4664539
0 1:-1.4686674 2:-585.9017745
2 1:0.0896582 2:727.4996918
1 1:1.7661687 2:-1137.4514984
2 1:-1.8716971 2:377.9008872
2 1:-0.0587850 2:682.0891473
1 1:0.8466661 2:-498.8538292
1 1:1.2849050 2:-539.7359037
2 1:-0.8708391 2:614.4739452
2 1:-0.8029861 2:659.7204029
2 1:-0.9552607 2:588.2707304
2 1:-2.1122868 2:155.0289907
2 1:-1.5225645 2:409.4093291
1 1:1.3659184 2:-909.9897955
2 1:-1.3173729 2:398.0266763
2 1:-0.0923464 2:472.8516449
0 1:-0.5580638 2:-1203.3965048
0 1:-1.6261535 2:-1247.6453622
0 1:-0.3335195 2:-1240.4162351
2 1:-1.2689881 2:426.1817029
2 1:-0.2106133 2:793.8085509
2 1:-0.9167642 2:588.2729212
1 1:0.9500686 2:-454.8148433
2 1:-2.9902582 2:7.6072103
0 1:-0.5816859 2:39.6210387
2 1:-0.5241642 2:628.6238642
0 1:0.4825809 2:-995.4224002
2 1:-0.8341142 2:540.8959382
0 1:-1.4470672 2:-795.5067702
1 1:0.7149444 2:-326.4558145
2 1:-1.8339032 2:430.9576548
2 1:-1.5227148 2:361.3932945
2 1:-2.1294620 2:82.1031254
0 1:-0.5535558 2:-988.2926338
2 1:0.9558797 2:860.3320183
1 1:1.3507737 2:-1093.5784080
2 1:-0.0987865 2:720.9481737
0 1:-0.2625989 2:-342.4156335
2 1:-0.3636594 2:519.8727387
2 1:-1.0143911 2:746.0451257
1 1:-0.5658262 2:806.9920552
2 1:-1.7531725 2:425.5208344
2 1:0.5693071 2:914.7574420
1 1:1.8993089 2:-1233.3132222
2 1:-1.5335289 2:474.5378586
1 1:0.3650931 2:-110.8988126
1 1:-0.0051327 2:380.5243550
2 1:-0.8389168 2:596.2596417
2 1:-2.5402861 2:161.7602887
2 1:-1.3253288 2:605.5441651
1 1:1.2795586 2:-1013.3461836
2 1:-2.3723168 2:168.7509017
2 1:-1.4573080 2:497.7506259
1 1:1.0760736 2:-494.9534213
1 1:0.8516924 2:-497.9141390
2 1:0.1872842 2:804.0177302
1 1:1.5123344 2:-772.3102033
2 1:0.8518266 2:907.4447847
2 1:-0.3602017 2:720.5812611
2 1:-2.5468207 2:75.1125158
2 1:-1.5020618 2:355.4563711
2 1:-1.7477997 2:482.0062370
2 1:0.0849743 2:854.0702432
2 1:-0.5919298 2:666.2721592
2 1:-2.7728803 2:1.8803852
2 1:-0.1285983 2:721.3412232
2 1:-0.3375278 2:557.1620855
2 1:-2.1159597 2:290.7839408
1 1:1.3019187 2:-699.9924166
2 1:-3.0320163 2:-56.0079165
2 1:-1.7864320 2:232.3800314
2 1:-2.3046118 2:84.1136029
2 1:0.3001658 2:1025.1607532
1 1:0.6454942 2:-122.7457652
1 1:1.3688736 2:-955.0974712
0 1:-1.0812781 2:-792.0889759
2 1:0.2298013 2:929.3022648
0 1:-1.6935173 2:-292.1988198
2 1:-1.9006915 2:117.1839164
2 1:-1.5363037 2:450.7280819
1 1:1.2051323 2:-943.8017668
2 1:-2.5102662 2:325.6269367
2 1:-1.5367355 2:414.7868379
0 1:-1.7714995 2:-38.9885820
2 1:-0.2127795 2:769.3436903
0 1:-1.1950787 2:-474.8139359
0 1:-0.5586266 2:-447.7644752
0 1:0.6609035 2:-1559.1299335
2 1:0.5268305 2:827.5545968
2 1:0.0279340 2:665.4400226
2 1:-2.1769676 2:241.7476857
0 1:-1.5203041 2:694.5063430
2 1:-2.6148784 2:-26.5627625
1 1:0.7466289 2:-247.9248534
2 1:0.3720596 2:921.3956076
0 1:-0.2301633 2:-567.5213026
2 1:-1.1692626 2:475.9264718
2 1:0.9609991 2:1061.5501312
0 1:-1.9416984 2:524.7818528
1 1:0.4819047 2:-17.5925435
2 1:-0.9255483 2:312.9805890
1 1:1.4420060 2:-726.8938564
2 1:-1.7899251 2:283.0516825
2 1:-1.1666356 2:433.0705363
0 1:-1.6412856 2:-393.6263188
2 1:-0.4294655 2:655.5894029
2 1:-2.5748198 2:61.3471975
1 1:0.9030336 2:-652.9089384
0 1:-0.9307296 2:-1119.8738746
2 1:-3.2687289 2:-263.0867924
0 1:0.1022991 2:72.9378799
2 1:0.7025404 2:741.5044075
2 1:-0.6453288 2:662.0457318
0 1:-0.7329747 2:-117.2261271
1 1:0.4740671 2:-13.3132594
2 1:-2.3951920 2:119.5813039
2 1:-1.9527842 2:471.5575131
1 1:0.4821493 2:-133.6034785
2 1:-0.5911597 2:623.3428681
2 1:-0.1010956 2:729.3925638
0 1:-0.7060972 2:-1804.1931135
2 1:-0.6421635 2:565.7440811
2 1:1.2521675 2:1219.6356288
0 1:-0.2005035 2:-1032.8292038
2 1:0.2411805 2:931.1234687
2 1:-1.6167561 2:444.5906874
1 1:1.7715087 2:-1053.2529007
2 1:-0.8000553 2:494.7811452
0 1:-0.8251333 2:-112.8711419
2 1:-0.0542750 2:567.6818010
2 1:-0.8973531 2:619.8360603
