0.4375 0.66667 0.2 0.40625 0.71429 0.21739 0.4 0.84848 0.25 100%_Bran
0.75 0.5 1 0.04688 0.14286 0.34783 0.53333 0.40909 0 100%_Natural_Bran
0.4375 0.66667 0.2 0.8125 0.64286 0.30435 0.33333 0.9697 0.25 All-Bran
0.3125 0.66667 0 0.4375 1 0.34783 0 1 0.25 All-Bran_with_Extra_Fiber
0.6875 0.33333 0.4 0.5625 0.10714 0.45652 0.66667 0.21212 0.25 Apple_Cinnamon_Cheerios
0.6875 0.33333 0 0.39063 0.07143 0.47826 0.93333 0.09091 0.25 Apple_Jacks
0.8125 0.5 0.4 0.65625 0.14286 0.78261 0.53333 0.30303 0.25 Basic_4
0.5625 0.33333 0.2 0.625 0.28571 0.65217 0.4 0.37879 0.25 Bran_Chex
0.5625 0.5 0 0.65625 0.35714 0.56522 0.33333 0.57576 0.25 Bran_Flakes
0.75 0.16667 0.4 0.6875 0 0.52174 0.8 0.10606 0.25 Cap'n'Crunch
0.6875 1 0.4 0.90625 0.14286 0.73913 0.06667 0.31818 0.25 Cheerios
0.75 0.16667 0.6 0.65625 0 0.56522 0.6 0.13636 0.25 Cinnamon_Toast_Crunch
0.6875 0.5 0.4 0.4375 0.14286 0.56522 0.46667 0.31818 0.25 Clusters
0.6875 0.16667 0.2 0.5625 0 0.52174 0.86667 0.16667 0.25 Cocoa_Puffs
0.6875 0.33333 0 0.875 0 0.95652 0.2 0.07576 0.25 Corn_Chex
0.625 0.33333 0 0.90625 0.07143 0.91304 0.13333 0.10606 0.25 Corn_Flakes
0.6875 0.16667 0 0.28125 0.07143 0.56522 0.8 0.06061 0.25 Corn_Pops
0.6875 0.16667 0.2 0.5625 0 0.52174 0.86667 0.19697 0.25 Count_Chocula
0.6875 0.5 0.6 0.4375 0.28571 0.43478 0.46667 0.48485 0.25 Cracklin'_Oat_Bran
0.6875 0.33333 0 0.6875 0.07143 0.91304 0.2 0.09091 0.25 Crispix
0.625 0.33333 0.2 0.4375 0.14286 0.47826 0.66667 0.36364 0.25 Crispy_Wheat_&_Raisins
0.625 0.33333 0 0.59375 0.07143 0.78261 0.33333 0.24242 0.25 Double_Chex
0.6875 0.33333 0.2 0.39063 0.07143 0.47826 0.86667 0.09091 0.25 Froot_Loops
0.6875 0.16667 0 0.625 0.07143 0.6087 0.73333 0.07576 0.25 Frosted_Flakes
0.625 0.5 0 0 0.21429 0.6087 0.46667 0.30303 0.25 Frosted_Mini-Wheats
0.75 0.5 0.4 0.5 0.35714 0.52174 0.66667 0.60606 0.25 Fruit_&_Fibre_Dates,_Walnuts,_and_Oats
0.75 0.5 0 0.75 0.35714 0.6087 0.8 0.57576 0.25 Fruitful_Bran
0.6875 0.16667 0.2 0.42188 0 0.56522 0.8 0.07576 0.25 Fruity_Pebbles
0.625 0.33333 0 0.14063 0 0.47826 1 0.12121 0.25 Golden_Crisp
0.6875 0.16667 0.2 0.875 0 0.65217 0.6 0.13636 0.25 Golden_Grahams
0.625 0.5 0.2 0.4375 0.21429 0.65217 0.33333 0.25758 0.25 Grape_Nuts_Flakes
0.6875 0.5 0 0.53125 0.21429 0.73913 0.2 0.27273 0.25 Grape-Nuts
0.75 0.5 0.6 0.23438 0.21429 0.56522 0.26667 0.30303 0.25 Great_Grains_Pecan
0.75 0.16667 0.4 0.6875 0.07143 0.52174 0.73333 0.13636 0.25 Honey_Graham_Ohs
